Date,Open,High,Low,Close,Volume,Market Cap
11/13/17,0.59401,0.652501,0.573934,0.591634,"37,718,000","1,651,070,000"
11/14/17,0.586061,0.618325,0.53829,0.610332,"33,932,000","1,628,970,000"
11/15/17,0.610165,0.785823,0.610165,0.785823,"87,041,500","1,695,970,000"
11/16/17,0.792688,0.893702,0.713337,0.823941,"132,320,000","2,203,300,000"
11/17/17,0.830897,0.875845,0.731393,0.792462,"102,001,000","2,309,500,000"
11/18/17,0.791203,0.848357,0.752962,0.823032,"57,802,400","2,199,170,000"
11/19/17,0.816643,0.878973,0.80899,0.864638,"61,681,300","2,269,880,000"
11/20/17,0.862672,0.992344,0.858567,0.966548,"92,042,900","2,397,820,000"
11/21/17,0.96561,0.985799,0.776513,0.888499,"123,514,000","2,683,940,000"
11/22/17,0.889204,0.957121,0.854097,0.89957,"69,568,700","2,471,570,000"
11/23/17,0.897425,0.91535,0.789444,0.793487,"64,619,700","2,494,420,000"
